File already downloaded...
0 0 1
Epoch: [0][76/109]	Time 0.452 (0.504)	Data 0.002 (0.038)	Loss 0.332 (0.523)	Prec 76.35% (60.82%)	
Epoch: [0][77/109]	Time 0.433 (0.504)	Data 0.000 (0.038)	Loss 0.318 (0.521)	Prec 68.54% (60.92%)	
Epoch: [0][78/109]	Time 0.444 (0.503)	Data 0.001 (0.037)	Loss 0.402 (0.519)	Prec 60.34% (60.92%)	
Epoch: [0][79/109]	Time 0.444 (0.502)	Data 0.001 (0.037)	Loss 0.520 (0.519)	Prec 69.40% (61.02%)	
Epoch: [0][80/109]	Time 0.450 (0.501)	Data 0.001 (0.036)	Loss 0.154 (0.514)	Prec 77.08% (61.23%)	
Epoch: [0][81/109]	Time 0.448 (0.501)	Data 0.000 (0.036)	Loss 0.299 (0.512)	Prec 64.97% (61.27%)	
Epoch: [0][82/109]	Time 0.442 (0.500)	Data 0.000 (0.035)	Loss 0.242 (0.509)	Prec 75.83% (61.45%)	
Epoch: [0][83/109]	Time 0.433 (0.499)	Data 0.001 (0.035)	Loss 0.236 (0.505)	Prec 71.97% (61.58%)	
Epoch: [0][84/109]	Time 0.441 (0.498)	Data 0.000 (0.035)	Loss 0.284 (0.503)	Prec 68.93% (61.66%)	
Epoch: [0][85/109]	Time 0.444 (0.498)	Data 0.008 (0.034)	Loss 0.384 (0.501)	Prec 70.66% (61.77%)	
Epoch: [0][86/109]	Time 0.445 (0.497)	Data 0.001 (0.034)	Loss 0.129 (0.497)	Prec 85.21% (62.04%)	
Epoch: [0][87/109]	Time 0.437 (0.497)	Data 0.001 (0.034)	Loss 0.438 (0.496)	Prec 68.78% (62.12%)	
Epoch: [0][88/109]	Time 0.441 (0.496)	Data 0.001 (0.033)	Loss 0.189 (0.493)	Prec 73.61% (62.25%)	
Epoch: [0][89/109]	Time 0.435 (0.495)	Data 0.001 (0.033)	Loss 0.198 (0.489)	Prec 63.22% (62.26%)	
Epoch: [0][90/109]	Time 0.438 (0.495)	Data 0.000 (0.032)	Loss 0.251 (0.487)	Prec 63.27% (62.27%)	
Epoch: [0][91/109]	Time 0.439 (0.494)	Data 0.001 (0.032)	Loss 0.304 (0.485)	Prec 67.36% (62.33%)	
Epoch: [0][92/109]	Time 0.437 (0.493)	Data 0.000 (0.032)	Loss 0.256 (0.482)	Prec 67.58% (62.38%)	
Epoch: [0][93/109]	Time 0.448 (0.493)	Data 0.001 (0.031)	Loss 0.303 (0.480)	Prec 63.29% (62.39%)	
Epoch: [0][94/109]	Time 0.430 (0.492)	Data 0.000 (0.031)	Loss 0.268 (0.478)	Prec 79.17% (62.57%)	
Epoch: [0][95/109]	Time 0.439 (0.492)	Data 0.043 (0.031)	Loss 0.270 (0.476)	Prec 81.36% (62.77%)	
Epoch: [0][96/109]	Time 0.444 (0.491)	Data 0.001 (0.031)	Loss 0.135 (0.472)	Prec 73.65% (62.88%)	
